Город,lat,lon
Саянск,54.1123301,102.1785158
Светлый,54.673355,20.131153
Светогорск,61.1112542,28.8701036
Семилуки,51.690403,39.022186
Серафимович,49.580608,42.730164
Сергач,55.532822,45.4616976
Сертолово,60.143707,30.207806
Слободской,58.7277816,50.1771234
Советск,55.0809688,21.8882673
Сокол,55.8050063,37.5056244
Соликамск,59.649437,56.779594
Сольвычегодск,61.331333,46.918938
Сортавала,61.70274,30.691231
Спасск,44.5980135,132.815701
Среднеуральск,56.991631,60.46888
Старый Крым,45.03339285,35.09667583036527
Сунжа,43.3134582,45.0506114
Сурск,53.072903,45.686054
Сызрань,53.15538,48.474121
Сысерть,56.5030175,60.8093215
Таганрог,47.2392184,38.87550310009352
Тара,56.902587,74.3698652
Тобольск,58.1998048,68.2512924
Тольятти,53.5149884,49.4073316
Томск,56.4887526,84.9523434
Тотьма,59.9736254,42.7587335
Туринск,58.0525487,63.6908787
Тюкалинск,55.870556,72.196617
Уварово,51.989845,42.258396
Удомля,57.877998,35.0042
Узловая,53.978512,38.160255
Ульяновск,54.3150278,48.403373
Урюпинск,50.7970972,42.0051866
Усть-Джегута,44.0858961,41.9722557
Усть-Илимск,57.959473,102.734192
Усть-Катав,54.9308,58.17484
Уфа,54.7261409,55.947499
Фролово,49.7645711,43.6539516
Фурманов,57.248756,41.10923
Химки,55.8917293,37.4396994
Холмск,47.0545875,142.0487125
Чебоксары,56.1307195,47.2449597
Черкесск,44.2285229,42.048257
Чулым,55.09,80.970459
Шарыпово,55.5329127,89.1864204
Шимановск,51.9987022,127.6719156
Шлиссельбург,59.940431,31.0336955
Шуя,56.8558465,41.3838496
Щекино,54.004465,37.5179079
Щигры,51.870821,36.9131896
Электрогорск,55.8792983,38.7858721
Электросталь,55.7903785,38.4405711
Югорск,61.3149709,63.3315999
Юрьев-Польский,56.4971948,39.67864
Юхнов,54.7415766,35.2264393
Якутск,62.0274078,129.7319787
Ялта,53.4784578,38.0320458
Ялуторовск,56.654934,66.312752
Ярославль,57.6263877,39.8933705
Ясногорск,54.4792708,37.693329
